标题,总价,单价,面积,户型,楼层,建成年份,小区,区域,标签,链接,关注人数,发布时间
"江与城正规两房 装修拎包入住 高楼层","120万","14,952元/平","80.26平米","2室1厅","高楼层                                     (共33层)","2013年","熙溪地","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106116554488.html","1人关注","1年前发布"
"龙湖中庭品质两房，下楼即是公园。","100万","13,009元/平","76.87平米","2室1厅","低楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106116254292.html","3人关注","1年前发布"
"精装修两居室，装修风格偏美式装修","112万","14,092元/平","79.48平米","2室1厅","高楼层                                     (共33层)","2012年","熙溪地","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106115811820.html","25人关注","1年前发布"
"龙湖江与城江城时光 精装修三房 拎包入住带车位出售","120万","14,792元/平","81.13平米","2室2厅","低楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106115667334.html","12人关注","1年前发布"
"业主精装修，采光很好，楼层适中，出门就是体育公园","96万","15,193元/平","63.19平米","2室1厅","中楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106114906203.html","25人关注","2年前发布"
"大竹林龙湖小户型 拎包入住 看中庭 精装修 环境优美","110万","17,266元/平","63.71平米","2室1厅","低楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106114343096.html","2人关注","2年前发布"
"龙湖精装两房 看公园，看房方便 小区环境好，适宜居家","120万","15,597元/平","76.94平米","2室2厅","低楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106113443756.html","1人关注","2年前发布"
"交通便利，生活配套设施齐全，精装修","105万","13,637元/平","77平米","2室2厅","低楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106113019650.html","2人关注","2年前发布"
"龙湖品质洋房小区，房屋格局不错，精装修拎包入住","101万","12,625元/平","80平米","2室1厅","高楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106112763505.html","16人关注","2年前发布"
"金海湾旁 龙湖品质 精装大2房 东南向 一线江景视野","95万","11,700元/平","81.2平米","2室2厅","高楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106111951642.html","19人关注","3年前发布"
"长阳台!长阳台！俯瞰整个体育公园！","115万","14,419元/平","79.76平米","2室1厅","中楼层                                     (共33层)","2012年","熙溪地","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106111501243.html","41人关注","3年前发布"
"熙溪地精装两房 朝向东 位置安静住家","99万","12,335元/平","80.26平米","2室2厅","中楼层                                     (共33层)","2014年","熙溪地","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106110707421.html","11人关注","3年前发布"
"龙湖精装修两房带全屋地暖，住家安静","120万","15,023元/平","79.88平米","2室2厅","高楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106107299214.html","21人关注","4年前发布"
"金海湾公园畔，江与城龙湖品质！视野开阔！","92万","14,441元/平","63.71平米","1室1厅","中楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106120149466.html","1人关注","11月前发布"
"轻轨精装两房，配套成熟，拎包入住，适合刚需人群","90万","9,919元/平","90.74平米","中楼层                                     (共21层)                                                                   2室1厅","未知","未知","大竹林商业中心","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106122821311.html","1人关注","3月前发布"
"离轻轨近，精装，配套成熟，大竹林环境好宜居","90万","9,919元/平","90.74平米","低楼层                                     (共21层)                                                                   2室2厅","未知","未知","大竹林商业中心","重庆渝北","近地铁;满两年;VR看装修","https://cq.ke.com/ershoufang/106120448575.html","3人关注","10月前发布"
"交通方便 配套成熟 业主诚心出售","90万","9,555元/平","94.2平米","高楼层                                     (共21层)                                                                   2室2厅","未知","未知","大竹林商业中心","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106110779364.html","11人关注","3年前发布"
"龙湖品质楼盘,视野好，采光充足，户型方正","115万","13,092元/平","87.84平米","中楼层                                     (共20层)                                                                   2室1厅","未知","未知","新江与城悠澜","重庆渝北","满两年;VR房源;随时看房","https://cq.ke.com/ershoufang/106116938682.html","5人关注","1年前发布"
"龙湖次新小区 大竹林轻轨旁 户型好 诚心出售","102万","12,440元/平","82平米","高楼层                                     (共33层)                                                                   2室2厅","未知","未知","新江与城清晖时光","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106123766740.html","3人关注","1月前发布"
"龙湖次新 朝东 视野开阔 户型方正","105万","12,805元/平","82平米","2室2厅","高楼层                                     (共41层)","2016年","新江与城清晖时光","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106121336427.html","0人关注","7月前发布"
"龙湖次新小区 装修两年 保养9成新 诚心出售","108万","13,309元/平","81.15平米","2室1厅","高楼层                                     (共41层)","2016年","新江与城清晖时光","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106121208114.html","13人关注","7月前发布"
"滨江公园旁 龙湖品质高层 无缝链接公园 户型方正","113万","13,343元/平","84.69平米","2室1厅","低楼层                                     (共33层)","2017年","新江与城清晖时光","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106120987534.html","0人关注","8月前发布"
"龙湖品质，9成新装修，看江视野无遮挡，出门即公园","116万","13,973元/平","83.02平米","2室1厅","高楼层                                     (共33层)","2016年","新江与城清晖时光","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106119322735.html","13人关注","1年前发布"
"全小区在售清水看江！看江！您会喜欢吗？","115万","14,025元/平","82平米","中楼层                                     (共33层)                                                                   2室2厅","未知","未知","新江与城清晖时光","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106118236342.html","12人关注","1年前发布"
"正两房 视野开阔 小区环境优美，绿化充足，住家安静","118万","14,477元/平","81.51平米","2室2厅","中楼层                                     (共41层)","2016年","新江与城清晖时光","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106117888986.html","1人关注","1年前发布"
"龙湖自住精装两居，随时可看，诚心出售，车位另议","108万","13,319元/平","81.09平米","2室2厅","低楼层                                     (共41层)","2016年","新江与城清晖时光","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106117675568.html","18人关注","1年前发布"
"龙湖清晖时光 高楼层 采光好 视野开阔无遮挡 看公园","114万","13,721元/平","83.09平米","高楼层                                     (共33层)                                                                   2室2厅","未知","未知","新江与城清晖时光","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106117646474.html","6人关注","1年前发布"
"龙湖次新小区，2房，朝南，朝中庭，看房有钥匙","99万","11,925元/平","83.02平米","2室2厅","中楼层                                     (共33层)","2018年","新江与城清晖时光","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106117411983.html","26人关注","1年前发布"
"龙湖新山高品质  高楼层视野开阔","97万","11,901元/平","81.51平米","2室1厅","高楼层                                     (共41层)","2017年","新江与城清晖时光","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106117400711.html","116人关注","1年前发布"
"龙湖品质高层，一线看江，价格可以沟通","108万","13,009元/平","83.02平米","2室2厅","低楼层                                     (共33层)","2019年","新江与城清晖时光","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106117237941.html","5人关注","1年前发布"
"大竹林龙湖新江与城高楼层正规两房，视野开阔采光好","110万","13,492元/平","81.53平米","2室2厅","高楼层                                     (共40层)","2018年","新江与城清晖时光","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106116654420.html","1人关注","1年前发布"
"住家安静，中高楼层采光充足，小区新环境好，户型方正","118万","14,202元/平","83.09平米","高楼层                                     (共33层)                                                                   2室2厅","未知","未知","新江与城清晖时光","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106114920518.html","1人关注","2年前发布"
"龙湖清晖时光大两房 高楼层视野好 诚意出售 随时看房","120万","14,455元/平","83.02平米","2室2厅","中楼层                                     (共33层)","2017年","新江与城清晖时光","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106113985262.html","1人关注","2年前发布"
"小区由龙湖品质地产商所打造 龙湖智慧服务管家所管理","110万","12,989元/平","84.69平米","2室1厅","中楼层                                     (共33层)","2017年","新江与城清晖时光","重庆渝北","满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106113584553.html","50人关注","2年前发布"
"龙湖精装两房朝南，紧靠嘉陵江，此房楼层高，视野好","105万","12,648元/平","83.02平米","高楼层                                     (共33层)                                                                   2室1厅","未知","未知","新江与城清晖时光","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106111024713.html","24人关注","3年前发布"
"轻轨旁边的洋房，一梯两户，楼间距开阔采光好","190万","15,420元/平","123.22平米","4室1厅","中楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;新上","https://cq.ke.com/ershoufang/106124111514.html","1人关注","4天前发布"
"版式通风，住家舒适户型房子业主急急急","223万","14,564元/平","153.12平米","4室1厅","高楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106124051108.html","1人关注","9天前发布"
"金科天元道砚北B区 4室1厅 东北","270万","16,568元/平","162.97平米","4室1厅","低楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106123894896.html","0人关注","22天前发布"
"金科天元道砚北B区 4室2厅 东南","300万","19,397元/平","154.67平米","4室2厅","中楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106123680231.html","2人关注","1月前发布"
"金科天元道砚北B区 4室1厅 东南","185万","14,567元/平","127平米","4室1厅","低楼层                                     (共28层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106123592559.html","1人关注","1月前发布"
"户型方正，离轻轨近，业主安心卖，看房方便","235万","14,580元/平","161.18平米","4室2厅","低楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106123523264.html","6人关注","1月前发布"
"金科大四房双卫，业主诚心，视野很好","160万","12,575元/平","127.24平米","4室1厅","高楼层                                     (共28层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106123417848.html","2人关注","1月前发布"
"金科打造，品质保证，户型方正,中间楼层，采光好,","185万","15,041元/平","123平米","4室2厅","中楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106123168235.html","2人关注","2月前发布"
"金科打造，品质保证，户型方正,中间楼层，采光好,","190万","15,125元/平","125.62平米","4室2厅","中楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106123112224.html","1人关注","2月前发布"
"带车位 1梯2户 清水洋房 视野无遮挡","179万","14,673元/平","122平米","4室2厅","高楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106122817360.html","29人关注","3月前发布"
"金科天元道研北B区洋房 看小区中庭 中间楼层","255万","16,319元/平","156.26平米","4室1厅","中楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106122557334.html","0人关注","4月前发布"
"金科天元道砚北B区 精装房4房 轻轨6号线大竹林站","220万","17,239元/平","127.62平米","4室1厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106122539755.html","1人关注","4月前发布"
"金科天元道砚北B区 4室1厅 南","206万","16,748元/平","123平米","4室1厅","中楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106122481342.html","1人关注","4月前发布"
"全新装修 端户 全屋地暖  住家安静","227万","18,272元/平","124.24平米","4室2厅","中楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106122442495.html","5人关注","4月前发布"
"金科次新洋房 带大花园！坐北朝南 户型方正","300万","18,501元/平","162.16平米","4室1厅","低楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106122132947.html","3人关注","5月前发布"
"好楼层，采光通风好，朝东看中庭，业主诚心出售","190万","14,961元/平","127平米","4室1厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106122058033.html","1人关注","5月前发布"
"此房户型方正，交通方便，距离轻轨站近","225万","16,667元/平","135平米","4室2厅","低楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106122039651.html","0人关注","5月前发布"
"好楼层，采光通风好视野开阔，业主诚心","160万","12,539元/平","127.61平米","4室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106121747826.html","2人关注","5月前发布"
"金科看公园洋房，视野开阔无遮挡，业主 诚心卖","229万","14,691元/平","155.88平米","4室2厅","中楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR房源","https://cq.ke.com/ershoufang/106121476428.html","10人关注","7月前发布"
"大竹林金科品质小区  正规四房  户型方正","180万","14,147元/平","127.24平米","4室1厅","中楼层                                     (共28层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106121428473.html","1人关注","7月前发布"
"金科次新盘 开发商精装4房 采光佳视野好 享受洋房环境","175万","13,608元/平","128.61平米","4室2厅","高楼层                                     (共32层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106120999861.html","1人关注","8月前发布"
"大竹林精装洋房带车位  拎包入住  业主诚心","249万","18,787元/平","132.54平米","4室1厅","低楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106120353746.html","28人关注","10月前发布"
"金科中庭洋房，视野100米+，业主诚心出售","219.8万","14,355元/平","153.12平米","4室2厅","中楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106120331772.html","17人关注","10月前发布"
"金科品质小区，洋房， 大四房双卫生间，采光好","249万","18,707元/平","133.11平米","4室1厅","低楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106119546739.html","3人关注","1年前发布"
"带露台，公园旁的洋房，大竹林金科天元道砚北","245万","16,693元/平","146.77平米","4室2厅","高楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106119328615.html","3人关注","1年前发布"
"金科次新小区，大阳台，视野开阔，近公园，诚心卖","195万","14,773元/平","132平米","4室2厅","低楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106118859891.html","9人关注","1年前发布"
"洋房社区，户型方正,中间楼层，采光好。","220万","13,681元/平","160.81平米","4室2厅","低楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106118672154.html","4人关注","1年前发布"
"金科品质小区，板式结构， 户型采光比较好","255万","15,858元/平","160.81平米","4室1厅","低楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106118558901.html","2人关注","1年前发布"
"板式结构洋房   正看小区中庭","280万","17,922元/平","156.24平米","4室2厅","中楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106118558593.html","0人关注","1年前发布"
"金科品质大平层，朝中庭安静  随时看房，业主诚心出售","288万","18,581元/平","155平米","4室1厅","中楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106118287082.html","1人关注","1年前发布"
"金科精装洋房，中庭位置，户型方正 采光好","270万","16,982元/平","159平米","4室2厅","低楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106118274702.html","1人关注","1年前发布"
"大竹林洋房，百平大花园，百万装修，拎包入住改善生活","434万","26,517元/平","163.67平米","4室2厅","低楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106117923821.html","6人关注","1年前发布"
"金科品质小区，板式结构， 户型采光比较好，视野开阔","210万","14,274元/平","147.13平米","4室2厅","高楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106117837516.html","39人关注","1年前发布"
"金科次新小区，大阳台，视野开阔，近公园，诚心卖","290万","18,034元/平","160.81平米","4室1厅","低楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106117821356.html","0人关注","1年前发布"
"金科天元道砚北B组团洋房，4室2厅1厨2卫","238万","15,556元/平","153平米","4室2厅","中楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106117758177.html","4人关注","1年前发布"
"金科品质板式洋房，纯内圈住家安静，有露台","280万","17,723元/平","157.99平米","4室2厅","低楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106117721824.html","1人关注","1年前发布"
"金科品质洋房，大阳台，朝南视野开阔","275万","17,642元/平","155.88平米","4室2厅","中楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106117715046.html","1人关注","1年前发布"
"金科品质楼盘洋房，带车位，诚心出售","220万","16,573元/平","132.75平米","4室2厅","低楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106117714625.html","3人关注","1年前发布"
"金科精装洋房，带地暖，中。央空调，朝南好视野","249.9万","20,244元/平","123.45平米","4室1厅","高楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106117547582.html","28人关注","1年前发布"
"优质宝藏小区有3大主题公园大金海湾公园","245万","20,984元/平","116.76平米","4室2厅","高楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106117446525.html","1人关注","1年前发布"
"金科清水洋房，户型方正，采光好","215万","14,053元/平","153平米","4室2厅","高楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106117436568.html","3人关注","1年前发布"
"金科品质洋房，板式结构，业主诚心出售","310万","19,820元/平","156.41平米","4室1厅","低楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106117286032.html","1人关注","1年前发布"
"一梯两户，高楼层，户型方正，视野采光无遮挡","230万","15,671元/平","146.77平米","4室2厅","高楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106117227519.html","3人关注","1年前发布"
"洋房楼层好，采光好，视野好，户型方正，业主诚心出售","185万","14,986元/平","123.45平米","4室1厅","中楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106116892242.html","18人关注","1年前发布"
"金科纯洋房大社区，金海湾公园旁，出门便捷，环境舒适","260万","16,667元/平","156平米","4室2厅","中楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106116536068.html","0人关注","1年前发布"
"金科品质内圈洋房， 端户洋房带车位","189万","16,149元/平","117.04平米","4室2厅","中楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106116493878.html","7人关注","1年前发布"
"金科次新洋房  四房 主卧带衣帽间 近地铁 近公园","175万","13,204元/平","132.54平米","4室2厅","低楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106116449132.html","36人关注","1年前发布"
"金科洋房小区 2019年次新，环境优美住家安静人车分流","260万","16,810元/平","154.67平米","4室2厅","中楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106116344416.html","1人关注","1年前发布"
"视野开阔，采光充足,近轻轨，近公园","162万","12,675元/平","127.82平米","4室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106116263975.html","5人关注","1年前发布"
"金科品质打造，内圈安静不吵，中间楼层","270万","17,163元/平","157.32平米","4室1厅","低楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106116200018.html","1人关注","1年前发布"
"清水房  、带车位、采光好、业主安心卖","268万","17,195元/平","155.86平米","4室1厅","中楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106115634180.html","1人关注","1年前发布"
"带花园，轻轨近，临公园，看房方便","290万","18,125元/平","160平米","4室2厅","低楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106115145258.html","7人关注","2年前发布"
"金科带花园洋房，业主急卖，轻轨800米","252万","19,014元/平","132.54平米","4室2厅","低楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106114972433.html","10人关注","2年前发布"
"户型方正，采光不错，1楼带花园，清水，装修随意","198万","14,939元/平","132.54平米","4室1厅","低楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106114941669.html","57人关注","2年前发布"
"此房内圈位置采光好户型方正，交通方便，距离轻轨站近","238万","15,544元/平","153.12平米","4室2厅","中楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106114793983.html","13人关注","2年前发布"
"金科品质打造洋房，通透视线无遮挡","300万","19,355元/平","155平米","4室2厅","中楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106114609427.html","8人关注","2年前发布"
"次新洋房，一楼带花园，出行方便，居家安静，业主诚心","310万","19,310元/平","160.54平米","4室2厅","低楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106114470606.html","7人关注","2年前发布"
"金科打造，品质保证，中间楼层，视野开阔","230万","14,553元/平","158.05平米","4室1厅","低楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106114186164.html","4人关注","2年前发布"
"金科精装房，业主诚心出售，采光好户型方正","157万","12,235元/平","128.33平米","4室1厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106114130850.html","6人关注","2年前发布"
"精装修洋房  内圈住家安静   业主诚心出售","310万","20,043元/平","154.67平米","5室1厅","中楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106114045321.html","53人关注","2年前发布"
"金科次新盘板式洋房，户型通透，凤凰层，采光好","210万","17,011元/平","123.45平米","4室1厅","高楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106113909329.html","1人关注","2年前发布"
"金科天元道砚北B组团洋房 清水4房  看小区中庭","259万","15,988元/平","162平米","4室2厅","低楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106113762847.html","0人关注","2年前发布"
"视野霸道 享受洋房的品质  出行便捷","200万","15,673元/平","127.61平米","4室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106113742252.html","3人关注","2年前发布"
"金科品质洋房，板式结构，通透户型 屋顶花园","200万","17,279元/平","115.75平米","4室2厅","高楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106113722373.html","14人关注","2年前发布"
"视野无遮挡，住家安静，次新小区，小区环境好。","290万","18,630元/平","155.67平米","4室2厅","中楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106113373469.html","0人关注","2年前发布"
"户型方正,中间楼层，采光好,精装修。","180万","14,027元/平","128.33平米","4室1厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106113173938.html","2人关注","2年前发布"
"金科品质 内圈洋房 朝中庭 端户双花园洋房","290万","17,884元/平","162.16平米","4室1厅","低楼层                                     (共11层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106113135890.html","18人关注","2年前发布"
"金科天元道砚北B组团4室2厅临轻轨","230万","18,077元/平","127.24平米","4室2厅","中楼层                                     (共28层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106113021806.html","1人关注","2年前发布"
"金科天元道砚北B组团精装大四房  中庭位置安静住家","180万","14,063元/平","128平米","4室2厅","低楼层                                     (共32层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106112772312.html","32人关注","2年前发布"
"金科洋房，轻轨1.1公里，业主诚售","190万","15,391元/平","123.45平米","4室2厅","中楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106112762405.html","5人关注","2年前发布"
"出则宁静，如则繁华，业主急售。","190万","14,774元/平","128.61平米","4室2厅","低楼层                                     (共32层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106112639981.html","34人关注","2年前发布"
